gene	GSM590166	GSM590167	GSM590168	GSM590169	GSM590170	GSM590171
CD24	9.56175	9.71214	9.63406	8.50277	8.4172	8.25622
S100P	6.43901	6.33418	6.29926	5.77997	5.61005	5.52831
CST6	4.63506	4.63256	4.65967	4.77954	4.87354	4.9023
MAOA	3.50984	3.26182	3.21051	3.36772	3.22067	3.45525
COL6A2	6.61782	6.76556	7.06853	7.48144	6.87995	7.31907
MAP1B	10.5362	10.5772	10.6605	11.2918	11.2892	11.4702
LIMCH1	4.1586	3.95501	4.37907	3.91845	3.86847	4.02182
SMURF2	8.34367	8.34333	8.36578	10.0173	9.6889	9.85011
IGFBP3	5.49542	5.28883	5.50086	8.13144	7.82592	8.16001
MT1H	11.9492	12.0015	12.0009	12.0089	12.0385	12.0828
ARL4C	11.1112	11.1111	10.9962	10.815	10.983	10.8643
MT1E	12.7716	12.7694	12.7721	12.6591	12.7156	12.7298
DCBLD2	6.6003	6.58614	6.42645	6.32302	6.34921	6.48987
AKR1C3	3.55395	3.66874	3.61394	3.58875	3.67545	3.54254
TIMP3	4.19357	4.11155	4.43182	4.72905	4.40021	4.39984
GRAMD2B	0	0	0	0	0	0
TUBB6	10.251	10.347	10.3648	11.1269	11.0857	11.0907
S100A14	5.15288	5.12644	5.21615	5.39279	5.26177	5.14065
IL1A	4.23583	4.04801	4.10757	4.39248	3.89317	3.87763
SH3YL1	5.71845	5.63179	5.57141	5.64148	5.80079	5.79924
FN1	4.05542	3.86006	3.85118	3.84971	3.84971	3.95017
LGALS3	3.51041	3.34265	3.32795	3.44398	3.51576	3.36103
GJA1	7.97042	7.8739	7.84125	9.41856	9.39741	9.28344
CLU	3.96987	4.05401	4.02785	3.89246	3.92797	3.93868
MAGEA3	0	0	0	0	0	0
S100A6	13.7102	13.7738	13.7638	13.8343	13.8511	13.8897
NEDD9	4.46526	4.19604	4.18031	4.24836	4.45008	4.18963
LAD1	5.60901	5.6247	5.76378	5.41975	5.59775	5.5584
EMP3	11.6052	11.6568	11.6128	11.7891	11.8185	11.839
COL4A2	4.09098	4.14098	3.96745	4.45458	4.41612	4.42054
GNG11	10.0802	10.1328	10.1277	10.1063	9.75135	10.0538
SACS	8.1495	8.29447	8.56406	8.93986	8.63078	8.7585
GALNT1	9.31367	9.3144	9.21849	10.4671	10.2466	10.1753
TXNIP	9.42424	9.50428	9.09504	5.60753	5.59278	5.64763
CDH3	6.54485	6.63495	6.71648	6.17971	5.9939	6.24287
HMGA2	4.59541	4.5644	4.23713	5.51441	5.48323	5.56548
OLR1	3.67357	3.65042	3.73031	3.43582	3.56766	3.53822
RBPMS	3.9105	4.09098	3.80951	4.1299	4.13336	3.86637
EPS8	9.65592	9.68422	9.61333	9.74956	9.60916	9.66685
AGR2	12.1596	12.1288	12.2022	9.62939	9.52	9.66454
IGF2BP2	8.98977	8.99433	8.94161	9.53012	9.3805	9.51324
LAMA3	3.7897	3.96002	3.73926	3.85554	3.77445	3.90942
JAG1	4.88403	5.19935	4.89232	5.32457	5.33836	5.4158
SFN	9.2385	9.20509	9.22782	9.23022	9.24888	9.26448
SCNN1A	5.23207	5.30334	5.1135	4.92048	5.14081	4.94638
TACSTD2	4.94657	4.91417	4.99796	5.23295	5.12846	5.18304
PPL	9.8248	9.85906	9.97813	7.84176	7.51195	7.68981
CHST15	9.72906	9.653	9.68985	9.76616	9.55571	9.6603
FOSL1	8.16326	8.22301	8.30814	9.32861	9.1702	9.28213
PTGS2	3.61736	3.39658	3.56424	3.73577	3.90429	3.62256
S100A2	6.89585	6.98744	6.86211	9.17548	9.01519	9.13561
F2RL1	9.45836	9.63747	9.47154	11.9382	11.8824	11.7154
COL4A1	4.78726	4.70931	4.46749	4.97645	5.2163	5.3474
GATA3	6.35395	6.37958	6.41571	6.82149	6.4763	6.63827
CLDN4	5.06914	5.14601	4.97927	5.02402	5.20225	5.21633
PDGFC	11.2982	11.34	11.241	11.0261	10.9444	11.0055
FXYD3	6.54293	6.49717	6.5046	6.31803	6.53018	6.56673
TNFAIP2	5.49639	5.43506	5.46188	5.64028	5.64694	5.63729
MAPK13	5.77557	5.7109	5.53805	5.74465	5.82047	5.89378
ARHGDIB	6.24026	6.12299	6.21408	6.23884	6.25668	6.22395
MTUS1	4.28146	4.35618	4.25449	4.27614	4.29127	4.24606
DAPK1	6.60044	6.61944	6.58848	5.96812	5.64956	5.86677
IGFBP6	5.98235	5.82828	5.99156	5.38495	5.72516	5.60118
BST2	4.75994	4.59167	4.65678	4.8695	4.71124	4.62839
IGFBP7	8.36178	8.24378	8.2228	8.39625	8.3913	8.31704
SPINT1	5.28236	5.28883	5.37933	4.95633	5.15369	5.1576
GLIPR1	5.59843	5.49307	5.51185	6.48172	6.58426	6.5473
H2BFS	11.6884	11.6931	11.7331	11.5276	11.5951	11.5913
ASAH1	9.98026	10.0389	9.82798	9.62038	9.86092	9.6717
ARID5B	3.6976	3.82519	3.74648	3.87501	3.78495	3.91902
RAC2	4.38127	4.25195	4.5157	4.22523	4.2364	4.43451
FBLN1	7.86605	7.76243	8.085	7.42566	7.36423	7.54831
ANXA8	0	0	0	0	0	0
ARHGAP29	4.32169	4.1065	4.3416	4.16479	3.97678	4.03264
LIMA1	8.83355	8.74908	8.73337	8.39228	8.50151	8.42242
ESRP1	4.96048	4.86062	4.89558	5.03452	5.04545	4.89117
TSPAN4	10.2277	10.2343	10.2267	9.03778	8.8582	9.02371
AKAP2	0	0	0	0	0	0
EPAS1	9.09606	9.12594	9.3055	11.6313	11.4307	11.575
DSE	3.64621	3.62986	3.55179	3.6056	3.63451	3.61978
MT2A	13.406	13.4635	13.4434	13.5738	13.5091	13.5565
MT1G	11.5461	11.542	11.4915	11.6138	11.6461	11.6817
TRIM29	5.42656	5.42136	5.42507	5.30251	5.34262	5.40046
AKAP12	4.66853	4.69234	4.78298	4.72444	4.6502	4.54579
WWTR1	10.3043	10.2561	10.3089	10.3867	10.3977	10.3372
KRT7	6.90803	6.65518	6.75593	6.92426	7.12473	6.99142
WNT5A	6.1584	5.88499	5.89821	6.12465	5.98512	6.10348
KRT18	13.0438	13.0428	13.0051	11.7853	11.7433	11.8159
GLUL	8.23539	8.38973	8.18199	7.92054	7.84064	7.87596
GPR87	3.51625	3.57815	3.28245	3.58822	3.68377	3.78014
VIM	4.12458	4.03204	4.03612	4.79777	5.25239	5.80103
VGLL1	5.74922	5.47292	5.46886	5.49608	5.86935	5.81136
BICC1	4.52776	4.34224	4.50039	4.29761	4.46138	4.38762
TGFBI	11.7524	11.6261	11.8004	13.0997	13.0066	13.0997
EPCAM	8.53884	8.66542	8.65798	8.02718	7.72869	7.71734
PTGER4	6.38114	6.77148	6.54691	5.91429	6.07865	6.10128
CAPG	10.3081	10.3809	10.4311	11.1437	11.0119	11.1278
PIR	9.93406	9.99164	9.95643	10.2627	10.0691	10.2291
LOXL2	5.54613	5.59635	5.70449	7.034	6.50073	6.66326
TPM2	11.4126	11.4874	11.5998	12.6798	12.4445	12.5258
S100A4	11.6559	11.7283	11.794	12.0594	12.0524	12.1804
KRT17	4.65337	4.46899	4.37376	4.85268	4.93258	4.83846
JUP	10.5567	10.511	10.7724	8.82251	8.68756	8.76024
TGM2	6.22124	5.95333	6.24052	7.98347	7.96594	8.13041
SIRPA	5.12304	4.94566	4.92488	5.15063	5.04852	5.15924
EFEMP1	8.74674	8.8395	8.74817	8.04605	7.61288	7.79502
PTGES	5.94081	5.79625	5.74466	5.80676	5.9311	5.56095
FKBP11	9.46595	9.52509	9.49752	10.2086	10.084	10.2353
PKP3	4.84117	4.86766	4.96996	4.72764	5.08616	4.99318
CSTB	13.0897	13.1013	13.1087	13.263	13.233	13.2645
TFPI2	3.81737	3.52601	3.74682	4.12773	4.38971	4.07092
FYN	8.61428	8.68514	8.66912	8.99935	8.79692	8.91582
PERP	3.56989	3.48615	3.56103	3.57653	3.65548	3.53962
ERAP2	3.33398	3.30089	3.22783	3.42823	3.39412	3.50457
MSN	9.70045	9.72619	9.89338	10.5335	10.4315	10.4988
KYNU	5.21485	5.45026	5.24471	5.08478	5.14492	5.34836
MT1F	9.67302	9.7429	9.75298	9.62411	9.59	9.46347
LPAR1	7.79544	7.90917	8.12274	7.60469	7.36014	7.28246
EEF1A2	11.5162	11.521	11.7119	11.2849	11.2413	11.282
TUBA4A	7.15126	7.38465	7.25371	11.1418	11.1987	11.1736
CLDN7	6.45825	6.53631	6.25238	5.96339	6.64807	6.40469
CRYBG1	0	0	0	0	0	0
KRT33A	4.84252	5.08838	4.95771	5.05061	5.10468	5.12121
CAPN1	8.37106	8.21635	8.43758	8.39625	8.19312	8.35279
DSG2	8.32602	8.3281	8.19578	9.13205	8.91604	8.85271
PRSS8	4.31972	4.221	4.39695	4.40253	4.27322	4.14856
PKP2	3.58528	3.53402	3.42731	3.41605	3.42054	3.50454
PKP1	4.50632	4.60251	4.53563	4.44645	4.58585	4.29173
TGM1	4.97099	4.91128	4.91128	4.91128	5.14681	5.3303
KRT31	4.20114	4.17947	3.96416	4.35107	4.06711	4.13365
DSP	10.0566	10.0465	10.3103	10.0026	9.7481	9.88334
TGM5	5.87786	5.70598	5.69043	5.61446	5.73996	5.77346
CASP14	4.17019	4.06493	4.07582	3.95112	4.21041	4.09595
KRT23	4.07234	3.72298	4.07747	3.80531	3.84846	3.91079
KRT37	4.82373	4.82373	4.19642	5.07047	4.86134	4.76191
KRT32	5.40745	5.39738	5.5013	5.11319	5.45966	5.47119
KRT18	13.0438	13.0428	13.0051	11.7853	11.7433	11.8159
PERP	3.56989	3.48615	3.56103	3.57653	3.65548	3.53962
PPL	9.8248	9.85906	9.97813	7.84176	7.51195	7.68981
CSTA	4.27035	4.13282	4.1024	4.97303	4.62842	4.81323
PI3	4.29829	4.15971	4.27391	4.37822	4.38196	4.32509
CAPNS1	12.833	12.8448	12.8805	12.8331	12.8257	12.8506
KRT36	4.3266	4.20125	4.29491	4.03374	4.40087	4.02396
KRT17	4.65337	4.46899	4.37376	4.85268	4.93258	4.83846
KLK14	6.21657	6.16676	6.17791	6.09197	6.16794	6.17488
KLK8	3.86165	3.87846	3.80762	4.00225	3.97797	3.7627
KRT34	0	0	0	0	0	0
KRT33B	4.73451	4.61417	4.41205	4.4649	4.84613	4.74479
SPINK5	4.4212	4.13772	4.10408	4.06063	4.15772	4.26653
DSC2	4.96982	5.00158	4.78378	5.12143	5.41146	5.44495
DSG3	4.42773	4.36504	4.29803	4.1705	4.42208	4.23708
DSG1	3.53149	3.71012	3.65431	3.76418	3.74709	3.64331
DSC3	4.89137	4.95331	5.03898	4.69356	4.78001	4.94154
DSC1	3.46251	3.50289	3.41258	3.69227	3.81204	3.59599
KRT85	4.94218	4.7859	4.71513	4.54267	4.79519	4.89019
KRT7	6.90803	6.65518	6.75593	6.92426	7.12473	6.99142
KRT71	4.88922	4.77707	4.89047	4.87153	4.87028	4.98368
PCSK6	4.4607	4.40523	4.23427	4.20366	4.4321	4.37738
FURIN	7.25743	7.29454	7.48852	8.02449	7.86574	7.82623
CELA2A	4.34437	4.35939	4.37651	4.30932	4.32962	4.31318
FLG	3.54786	3.33547	3.45494	3.38269	3.30175	3.35792
PKP4	7.86426	7.82826	8.04685	8.17075	7.81058	7.94241
ST14	5.55872	5.43441	5.52295	5.52472	5.6448	5.62924
TCHH	3.76887	3.91608	3.80766	3.79743	3.70529	3.9608
LCE2B	3.90844	3.47015	3.78665	3.88346	3.86311	3.59114
SPRR2G	4.69261	4.6585	4.70062	4.8382	4.91697	4.56148
KRT84	4.36353	4.20606	4.40767	4.4043	4.21877	4.35099
KRT82	4.62976	4.74133	4.77301	4.72022	4.88577	4.80313
LCE3D	4.58649	4.59131	4.58166	4.57728	4.5818	4.69937
IVL	4.34558	4.26478	4.3281	4.34404	4.2106	4.27588
SPRR3	5.01852	5.06585	4.85176	4.84252	4.85924	5.01602
SPRR2D	0	0	0	0	0	0
KLK5	5.05986	5.06943	5.06943	4.94882	5.14228	5.38232
KLK13	5.55386	5.23568	5.34285	5.47956	5.36588	5.42885
KRT80	6.56419	6.67219	6.58717	6.7565	6.45551	6.48343
KRT1	4.34548	4.26318	4.14977	4.26933	4.29001	4.15804
EVPL	6.07318	6.08666	6.34017	6.09961	5.99657	5.93535
KRT24	4.67371	4.77342	4.52335	5.02074	4.89612	4.79124
SPRR1B	3.94541	3.92349	3.88762	4.05209	3.97045	4.04742
SPRR1A	4.29934	4.31793	3.98705	4.14809	4.18686	4.08808
KRT8	11.3577	11.4123	11.5798	9.2988	9.19019	9.32234
KRT78	4.64084	4.45483	4.4551	4.29087	4.27335	4.3918
KRT86	0	0	0	0	0	0
KRT75	4.62311	4.54338	4.71952	4.82471	4.75947	4.67108
KRT6C	6.32232	6.31609	6.20676	6.2756	6.43998	6.48921
KRT4	4.69366	4.48975	4.44655	4.49918	4.5317	4.64037
KRT74	4.80479	4.74738	4.79645	4.75162	4.85924	4.81005
KRT72	5.01219	4.9577	4.92524	5.14381	5.00873	5.02329
KRT83	4.84128	4.9464	4.77464	4.92196	5.10545	4.97881
KRT19	5.35193	5.6672	5.31909	4.23146	4.12809	4.1969
KRT15	5.23602	5.20716	5.21523	4.52761	4.31451	4.40392
KRT38	5.05724	5.18406	5.12121	5.06718	5.0562	4.84016
KRT13	3.71797	3.7436	3.85368	3.81529	3.68837	3.87574
KRT9	5.37424	5.01053	5.13658	4.98582	5.12116	5.35611
KRT20	3.81591	3.59397	3.78949	3.67934	3.79809	3.94534
KRT27	3.49544	3.67386	3.67386	3.73577	3.64065	3.78552
LCE1D	0	0	0	0	0	0
KRT2	4.30609	4.20275	4.19626	4.60097	4.356	4.06629
LIPM	0	0	0	0	0	0
JUP	10.5567	10.511	10.7724	8.82251	8.68756	8.76024
KRT28	0	0	0	0	0	0
DSG4	3.45798	3.43785	3.37841	3.56048	3.32142	3.45019
SPINK6	3.98988	3.95351	3.93041	3.98203	3.89365	3.95351
PKP3	4.84117	4.86766	4.96996	4.72764	5.08616	4.99318
KRT76	4.7119	4.72192	4.65633	4.63366	4.82455	4.31461
KRT6B	6.46469	6.24974	6.2858	6.00428	6.25708	6.24974
KRT79	4.51473	4.50708	4.54266	4.49918	4.74314	4.5561
LCE3A	0	0	0	0	0	0
LCE3E	0	0	0	0	0	0
KRT73	4.29213	3.99649	4.23907	4.04304	4.28689	4.12016
KRT5	5.5806	5.57971	5.63349	5.33985	5.52682	5.60893
LCE5A	0	0	0	0	0	0
LCE1E	5.69413	5.4389	5.59131	5.20077	5.55249	5.58678
KRT26	0	0	0	0	0	0
KRT10	10.9591	11.0325	11.0701	11.4003	11.234	11.2986
KRT3	4.09377	4.12659	4.16215	4.26584	4.53357	3.97016
KLK12	5.69291	5.63653	5.52875	5.69421	5.60524	5.69291
KRT16	3.74091	4.03661	4.12902	4.63705	4.63705	4.7468
LCE1A	0	0	0	0	0	0
KRT14	4.37241	4.14745	4.13302	4.16614	4.21737	4.20294
LCE4A	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0
KRT12	3.58019	3.85675	3.90203	3.53986	3.7082	3.7411
KRT77	4.29723	4.37734	4.29537	4.39248	4.74641	4.19067
KAZN	8.15122	8.21431	8.10286	8.63515	8.41751	8.41588
LCE1B	4.41033	4.29235	4.2869	4.1006	4.23072	4.30555
SPRR2B	5.32143	5.26256	5.43821	5.3899	5.30585	5.32507
KRT39	0	0	0	0	0	0
KRT35	3.58799	3.64328	3.75567	3.76006	3.71115	3.53716
LCE1C	0	0	0	0	0	0
LOR	4.91612	4.93412	4.95595	4.97065	5.06226	4.69902
LELP1	3.6763	3.85129	3.74863	3.87288	3.79437	3.68577
SPRR2E	0	0	0	0	0	0
LIPN	0	0	0	0	0	0
LIPK	0	0	0	0	0	0
LIPJ	3.63871	3.838	3.73968	3.7565	3.65306	3.60817
KRT40	3.14805	3.17104	3.17048	3.18369	3.11093	3.14207
KRT25	3.58893	3.57916	3.50119	3.83683	3.8333	3.52921
SPINK9	0	0	0	0	0	0
KRT6A	3.53809	3.51614	3.60218	3.65922	3.69801	3.5626
KRT81	5.35971	5.36969	5.54832	5.25543	5.50971	5.33165
RPTN	3.78318	3.70707	3.54253	3.58629	3.52161	3.54452
LCE6A	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0
SPRR2A	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0
SPRR2F	0	0	0	0	0	0
C1orf68	4.63226	4.5977	4.66855	4.30146	4.99584	5.06051
CDSN	5.27719	5.18245	5.21949	4.88761	5.28539	5.23905
PKP3	4.84117	4.86766	4.96996	4.72764	5.08616	4.99318
RPTN	3.78318	3.70707	3.54253	3.58629	3.52161	3.54452
CST6	4.63506	4.63256	4.65967	4.77954	4.87354	4.9023
DSG4	3.45798	3.43785	3.37841	3.56048	3.32142	3.45019
CSTA	4.27035	4.13282	4.1024	4.97303	4.62842	4.81323
LELP1	3.6763	3.85129	3.74863	3.87288	3.79437	3.68577
SPRR4	7.10423	7.25874	7.11358	6.75932	7.31563	7.09834
DSC1	3.46251	3.50289	3.41258	3.69227	3.81204	3.59599
DSC2	4.96982	5.00158	4.78378	5.12143	5.41146	5.44495
DSC3	4.89137	4.95331	5.03898	4.69356	4.78001	4.94154
DSG1	3.53149	3.71012	3.65431	3.76418	3.74709	3.64331
DSG2	8.32602	8.3281	8.19578	9.13205	8.91604	8.85271
DSG3	4.42773	4.36504	4.29803	4.1705	4.42208	4.23708
DSP	10.0566	10.0465	10.3103	10.0026	9.7481	9.88334
LCE4A	0	0	0	0	0	0
EVPL	6.07318	6.08666	6.34017	6.09961	5.99657	5.93535
FLG	3.54786	3.33547	3.45494	3.38269	3.30175	3.35792
KAZN	8.15122	8.21431	8.10286	8.63515	8.41751	8.41588
LCE5A	0	0	0	0	0	0
LCE2B	3.90844	3.47015	3.78665	3.88346	3.86311	3.59114
ANXA1	10.5729	10.6103	10.5266	10.6101	10.6831	10.6508
LCE1A	0	0	0	0	0	0
LCE1B	4.41033	4.29235	4.2869	4.1006	4.23072	4.30555
LCE1C	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0
LCE1E	5.69413	5.4389	5.59131	5.20077	5.55249	5.58678
LCE1F	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0
LCE3A	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0
LCE3E	0	0	0	0	0	0
IVL	4.34558	4.26478	4.3281	4.34404	4.2106	4.27588
JUP	10.5567	10.511	10.7724	8.82251	8.68756	8.76024
KRT1	4.34548	4.26318	4.14977	4.26933	4.29001	4.15804
KRT2	4.30609	4.20275	4.19626	4.60097	4.356	4.06629
KRT10	10.9591	11.0325	11.0701	11.4003	11.234	11.2986
HRNR	0	0	0	0	0	0
FLG2	3.94463	3.96215	3.5159	3.44865	3.62192	3.6845
LOR	4.91612	4.93412	4.95595	4.97065	5.06226	4.69902
PI3	4.29829	4.15971	4.27391	4.37822	4.38196	4.32509
PKP1	4.50632	4.60251	4.53563	4.44645	4.58585	4.29173
PKP2	3.58528	3.53402	3.42731	3.41605	3.42054	3.50454
PPL	9.8248	9.85906	9.97813	7.84176	7.51195	7.68981
PRR9	3.96002	4.09098	3.98107	4.07139	4.24074	3.72007
EVPLL	4.8034	4.84082	4.59196	4.67676	4.9976	4.88583
SPRR1A	4.29934	4.31793	3.98705	4.14809	4.18686	4.08808
SPRR1B	3.94541	3.92349	3.88762	4.05209	3.97045	4.04742
SPRR2A	0	0	0	0	0	0
SPRR2B	5.32143	5.26256	5.43821	5.3899	5.30585	5.32507
SPRR2D	0	0	0	0	0	0
SPRR2E	0	0	0	0	0	0
SPRR2F	0	0	0	0	0	0
SPRR2G	4.69261	4.6585	4.70062	4.8382	4.91697	4.56148
SPRR3	5.01852	5.06585	4.85176	4.84252	4.85924	5.01602
TGM1	4.97099	4.91128	4.91128	4.91128	5.14681	5.3303
TCHH	3.76887	3.91608	3.80766	3.79743	3.70529	3.9608
CNFN	6.40073	6.45366	6.60011	5.91397	5.87053	5.72792
LCE3D	4.58649	4.59131	4.58166	4.57728	4.5818	4.69937
PKP4	7.86426	7.82826	8.04685	8.17075	7.81058	7.94241
SCEL	3.18684	3.16644	3.11968	3.22472	3.21849	3.19808
TPSAB1	5.26581	5.08469	5.20493	5.21464	5.35531	5.35511
S100A9	4.11119	4.08743	4.03118	4.02773	4.13494	4.21923
EFS	3.8701	3.93302	3.94517	3.92013	4.06808	3.87157
IVL	4.34558	4.26478	4.3281	4.34404	4.2106	4.27588
RORA	3.80813	3.90312	3.96056	4.05361	4.19745	3.89152
SDC1	8.95465	8.97528	9.03724	9.38813	9.45653	9.50351
EHF	3.7218	3.68574	3.70418	3.73039	3.76885	3.79004
SLPI	6.11176	5.82361	5.75425	5.64546	6.04785	5.92445
MAP7	5.87379	5.92003	6.09585	7.73093	7.5881	7.66924
SLC1A4	9.65306	9.51904	9.73441	10.0912	9.97875	10.0625
CXCL14	3.86192	3.7806	3.61658	3.69715	3.80429	3.92646
KRT33A	4.84252	5.08838	4.95771	5.05061	5.10468	5.12121
MAST4	4.89553	4.81575	4.73574	4.73991	4.85977	4.75951
DSG1	3.53149	3.71012	3.65431	3.76418	3.74709	3.64331
KLK11	4.53087	4.77484	4.76332	4.85773	4.77873	4.8799
ASPA	4.29926	4.15214	4.05093	3.89326	4.31225	4.11056
KRT10	10.9591	11.0325	11.0701	11.4003	11.234	11.2986
KLF4	4.71711	4.84619	4.75407	4.64089	4.73383	4.74683
AHNAK	5.66865	5.45055	5.33732	5.22864	5.70407	5.34664
TP63	3.72506	3.72094	3.60025	3.48646	3.59937	3.62493
LAMB3	4.33123	4.61784	4.4134	5.02153	4.97481	4.72307
ACKR4	3.7016	3.6651	3.52442	3.60691	3.88124	3.81497
NLRX1	6.95881	6.9813	7.03037	6.94339	6.64663	6.97107
SPRR1B	3.94541	3.92349	3.88762	4.05209	3.97045	4.04742
NRCAM	4.1149	4.05559	4.0218	3.92857	4.24578	4.06059
FERMT1	7.07896	7.16241	6.94054	7.79139	7.81181	7.73415
SLC2A1	3.68322	3.64099	3.63348	4.15368	3.93582	3.72571
S100P	6.43901	6.33418	6.29926	5.77997	5.61005	5.52831
BCL11A	6.09172	6.10412	6.01802	5.84141	6.21823	6.23783
CLCA2	3.74036	3.67379	3.59921	3.83923	3.72342	3.87355
NET1	8.27627	8.28733	8.58992	8.13367	7.70106	7.82877
ABCC3	9.96592	10.0334	10.1645	9.98886	9.73681	9.87075
CTXND1	0	0	0	0	0	0
TUFT1	10.3428	10.2746	10.2613	10.6487	10.563	10.558
KRT6B	6.46469	6.24974	6.2858	6.00428	6.25708	6.24974
CDA	4.98588	4.93986	4.8774	5.00877	5.2646	5.18359
DUOX1	3.87588	3.9273	4.0274	3.92022	3.86251	3.9381
ITM2A	3.58528	3.54615	3.46054	3.64729	3.41076	3.33609
SRD5A1	8.43464	8.46217	8.43697	8.90407	8.61993	8.69969
PKP3	4.84117	4.86766	4.96996	4.72764	5.08616	4.99318
ITGB4	5.4749	5.00296	5.83604	5.05724	5.02496	5.14923
ALDH2	9.13433	9.16217	9.1855	8.98619	8.7954	8.85655
CALML3	4.40636	4.35939	4.52426	4.53262	4.48738	4.51407
PLP2	12.5506	12.5339	12.5174	12.7154	12.6659	12.6989
