id	Bxpc31_count	Bxpc32_count	Bxpc33_count	M81_count	M82_count	M83_count
LCE1E	0	0	0	0	0	3
KRT26	0	0	0	0	0	0
KRT10	265	320	295	208	224	255
KRT3	0	0	0	0	2	0
KLK12	0	0	0	0	0	0
KRT16	65	72	61	47	49	43
LCE1A	0	0	0	0	0	0
KRT14	108	152	136	208	170	187
LCE4A	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0
KRT12	0	0	0	0	0	0
KRT77	4	3	4	1	0	2
KAZN	101	109	81	130	114	120
LCE1B	0	0	0	0	0	0
SPRR2B	3	6	1	3	2	4
KRT39	0	0	0	0	2	0
KRT35	0	0	0	0	0	0
LCE1C	0	0	0	0	1	0
LOR	0	0	0	0	0	0
LELP1	0	0	0	0	0	0
SPRR2E	9	5	5	10	11	5
LIPN	0	0	0	0	0	0
LIPK	1	2	0	0	2	2
LIPJ	4	12	8	5	3	10
KRT40	0	0	0	0	0	1
KRT25	0	0	0	0	0	0
SPINK9	0	0	0	0	0	0
KRT6A	27679	33958	28112	36693	34865	38206
KRT81	0	2	0	4	0	5
RPTN	1	3	6	10	4	8
LCE6A	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0
SPRR2A	37	35	21	58	60	59
LCE3C	0	0	0	0	0	0
SPRR2F	9	4	2	2	6	2
C1orf68	0	0	0	1	1	0
CDSN	0	0	0	0	0	0
PKP3	4408	5517	4668	4129	3931	4276
RPTN	1	3	6	10	4	8
CST6	0	2	0	2	1	8
DSG4	0	0	1	0	0	0
CSTA	1305	1441	1434	1099	1157	1467
LELP1	0	0	0	0	0	0
SPRR4	1	0	0	0	0	0
DSC1	0	0	5	2	0	0
DSC2	645	614	626	494	477	529
DSC3	3239	3471	3613	3231	2739	3337
DSG1	10	5	6	4	9	11
DSG2	16173	17227	16903	18998	17051	20025
DSG3	2081	2049	2175	1635	1375	1599
DSP	21235	23029	22516	18415	16516	19285
LCE4A	0	0	0	0	0	0
EVPL	1404	2377	1822	1024	817	880
FLG	36	37	42	43	33	43
KAZN	101	109	81	130	114	120
LCE5A	4	7	3	3	2	0
LCE2B	0	0	0	0	0	0
ANXA1	8738	9287	9549	8301	7981	9072
LCE1A	0	0	0	0	0	0
LCE1B	0	0	0	0	0	0
LCE1C	0	0	0	0	1	0
LCE1D	0	0	0	0	0	0
LCE1E	0	0	0	0	0	3
LCE1F	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0
LCE3A	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0
LCE3E	0	0	1	2	2	0
IVL	29	26	27	45	41	51
JUP	12650	13903	13274	11206	10733	11528
KRT1	2	0	0	0	0	0
KRT2	0	0	2	0	0	0
KRT10	265	320	295	208	224	255
HRNR	0	0	0	0	0	0
FLG2	0	0	0	0	0	0
LOR	0	0	0	0	0	0
PI3	748	893	703	958	1022	1223
PKP1	5199	6257	5046	4498	4414	4875
PKP2	1103	1426	1432	1607	1493	1649
PPL	21232	26391	22458	19665	18451	21144
PRR9	0	0	0	0	0	0
EVPLL	0	0	0	0	0	0
SPRR1A	163	215	176	48	41	46
SPRR1B	688	904	787	281	266	342
SPRR2A	37	35	21	58	60	59
SPRR2B	3	6	1	3	2	4
SPRR2D	51	37	32	64	75	70
SPRR2E	9	5	5	10	11	5
SPRR2F	9	4	2	2	6	2
SPRR2G	0	0	1	0	0	0
SPRR3	28	24	30	11	11	6
TGM1	217	267	263	124	109	122
TCHH	22	28	30	43	39	47
CNFN	17	14	11	15	7	20
LCE3D	0	0	0	0	1	0
PKP4	2671	3052	2682	2339	2076	2381
SCEL	759	803	1007	949	936	1155
TPSAB1	0	0	0	0	0	0
S100A9	920	1286	982	1628	1515	1660
EFS	29	36	33	15	14	17
IVL	29	26	27	45	41	51
RORA	39	23	21	124	94	145
SDC1	6655	5957	5167	5320	4064	2580
EHF	6339	6077	4125	6830	6198	7012
SLPI	2903	3765	3525	3421	3175	2638
MAP7	1197	1343	1301	1315	1101	1295
SLC1A4	32	44	42	89	103	92
CXCL14	68	56	58	62	54	71
KRT33A	0	2	0	0	0	0
MAST4	1044	1197	1154	992	847	1053
DSG1	10	5	6	4	9	11
KLK11	424	487	435	75	79	89
ASPA	0	0	0	0	0	0
KRT10	265	320	295	208	224	255
KLF4	501	549	515	822	627	755
AHNAK	103735	113502	104140	74429	67836	80021
TP63	2682	5694	2658	2854	2611	3029
LAMB3	7743	10306	8770	8508	8579	10151
ACKR4	5	4	13	1	6	6
NLRX1	559	673	496	376	391	385
SPRR1B	688	904	787	281	266	342
NRCAM	0	0	0	34	22	45
FERMT1	2841	3066	2769	3468	3225	3652
SLC2A1	4626	5084	4302	5211	4496	5498
S100P	644	849	769	294	348	414
BCL11A	45	55	51	63	84	75
CLCA2	210	181	192	449	387	462
NET1	3718	4070	4170	4375	3941	4761
ABCC3	1344	1495	1479	1631	1534	1799
CTXND1	0	0	0	1	0	0
TUFT1	569	668	385	833	793	959
KRT6B	90	126	109	243	209	248
CDA	367	462	384	606	588	620
DUOX1	437	527	437	333	333	412
ITM2A	0	0	0	0	0	0
SRD5A1	1351	1547	1400	1237	1214	1304
PKP3	4408	5517	4668	4129	3931	4276
ITGB4	10655	13452	10985	17603	16989	18818
ALDH2	59	71	84	21	26	26
CALML3	2	2	1	2	0	0
PLP2	4740	5546	4778	4272	4191	4866
LOR	0	0	0	0	0	0
AKR1C1	2945	3099	2857	2890	2612	3185
SCNN1A	3884	4482	4016	2849	2392	2935
DPP6	0	0	0	0	0	0
AREG	1057	1168	1110	878	818	1015
ARHGEF4	516	671	569	788	712	937
THBD	3367	3898	3394	4031	3972	4530
DSC3	3239	3471	3613	3231	2739	3337
PCSK2	0	0	0	0	0	0
SERPINB3	1100	1130	1304	450	391	572
PTGS1	1281	1376	1258	1055	931	1400
HOPX	0	0	0	2	0	0
KRT17	19701	23052	18089	25544	24537	23724
LAD1	3865	4979	3659	4435	3783	4381
S100A7	0	3	0	9	1	4
KLK7	0	0	0	0	2	0
CLTB	1265	2048	1618	2212	1498	1522
KRT23	3	2	0	1	1	2
PLXNC1	12	11	6	16	17	15
MYO6	1735	1787	1770	1628	1662	2005
GJA1	1665	1721	1712	3532	3397	3607
PRELP	1	0	0	0	0	0
PI3	748	893	703	958	1022	1223
LYPD3	1292	1521	1284	1100	1094	1184
JAG1	6551	7763	6959	10320	9490	10776
CA12	92	109	96	225	196	182
ETS2	3417	3784	3338	4797	4466	5195
ZNF750	122	134	132	41	38	46
EPHB6	634	889	774	395	479	578
CYP26B1	398	497	400	411	370	181
TYRP1	3	4	0	3	4	0
KCND3	15	11	19	10	18	30
ALDH3B2	15	27	19	4	7	6
EXPH5	187	202	199	171	140	201
MMP28	33	36	38	3	10	9
DSG3	2081	2049	2175	1635	1375	1599
COBL	19	14	21	96	93	80
CDS1	669	686	768	515	498	603
SPRR1A	163	215	176	48	41	46
ARAP2	450	478	586	465	396	519
FCGBP	6	12	3	10	10	22
F2RL1	751	873	295	933	941	974
CHN2	27	19	9	48	65	46
MPZL2	5304	5755	5551	5445	4636	5297
SFN	19396	25156	21730	23957	24232	26547
S100A14	8920	9133	9344	5773	6187	7342
FGFBP1	691	755	701	210	189	261
EPPK1	1646	1943	1840	1162	1119	1440
IMPA2	247	278	170	153	133	214
DUSP7	2522	3161	2800	3203	3161	3486
HCAR3	511	510	488	256	233	281
ZNF185	3428	3857	3250	4620	4537	4931
IRX4	0	0	0	0	0	0
DSC1	0	0	5	2	0	0
ELMO3	1491	1847	1440	967	932	986
FHOD3	684	763	718	1062	952	1089
KRT6A	27679	33958	28112	36693	34865	38206
MAF	3	5	3	9	11	9
AQP3	41058	45314	38522	28707	26604	30580
EGFR	14385	14979	14495	11782	10800	12615
SSH3	2052	2479	2533	1107	2200	2267
POU2F3	13	21	13	29	16	22
EPHX3	5	5	4	5	0	2
ANK3	989	1030	1090	1104	1118	1307
ARHGAP32	1242	1429	1281	881	752	913
FST	5030	6008	5347	5995	5924	6626
NMU	230	290	273	128	120	116
ASS1	2111	2256	2124	1227	1156	1419
ABLIM1	4438	4847	4515	4681	4640	5061
TUBA4A	4085	3067	2908	4892	4744	3480
PALMD	291	293	275	463	473	519
ENPP2	0	0	0	2	1	1
FLG	36	37	42	43	33	43
ABCA12	364	353	377	270	232	264
FXYD3	12406	14218	12341	6443	5773	6516
LGR5	0	0	0	0	0	2
KLF5	6884	7303	7385	5866	5249	6272
GPX2	1047	1496	1280	1021	842	924
FGFR3	2360	3030	2694	1046	857	1066
TACSTD2	19792	23865	20702	16402	15481	17431
PRSS3	525	647	623	655	656	787
PPL	21232	26391	22458	19665	18451	21144
TRIM29	7642	9602	8516	3888	3786	4267
NEBL	89	95	61	53	90	89
ST14	4530	5534	4532	3690	3456	3920
CDHR1	0	0	0	0	0	0
FGFR2	0	0	0	0	0	0
LSR	2935	3635	3129	2399	2262	2718
PAK6	779	949	681	756	655	630
PDZK1IP1	698	836	894	1070	973	1061
GABRE	1242	1322	1293	1721	1528	1834
MST1R	2677	3902	3121	3349	2953	3715
BCL11B	111	115	109	161	135	179
CD24P2	0	0	0	0	0	0
CD24	2582	2350	2258	3968	3592	3748
DSC2	645	614	626	494	477	529
GATA3	42	37	53	30	30	46
DSP	21235	23029	22516	18415	16516	19285
KRT14	108	152	136	208	170	187
JUP	12650	13903	13274	11206	10733	11528
TMEM45A	1067	1037	997	1092	901	1096
CXADR	757	753	846	983	831	1067
IRF6	6966	7697	6857	5750	5353	6044
KLK10	460	748	747	163	132	167
FAT2	10664	11955	10491	10639	9964	12084
HAL	41	33	50	59	53	55
CDH1	11283	12341	11249	10034	9292	10117
CRYBG1	4699	5228	4956	4530	4299	4628
RAB25	1231	1275	1266	854	792	1020
SERPINB13	794	743	819	200	135	172
KLK8	7	15	7	2	0	0
S100A2	14059	21092	16155	15819	16129	17320
INAVA	1512	1898	1505	1720	1718	1914
SCUBE2	0	0	0	0	0	2
MT1M	6	11	7	10	11	10
PTPRZ1	50	42	54	34	22	28
CRYBG2	580	819	720	251	163	270
KRT31	0	0	0	0	0	0
MAPK13	2681	3410	2757	2200	2161	2355
BICD2	2588	3039	2607	2690	2423	2780
MCOLN3	541	588	694	706	609	631
CWH43	0	0	0	0	0	0
ABHD2	4827	5157	4624	4507	4006	4599
GNA15	1397	1749	1402	1725	1571	1885
IL1R2	1	5	0	25	10	16
TFAP2B	0	0	0	0	0	0
NFIB	486	490	462	560	531	654
DEFB1	56	46	47	16	12	15
WNT5A	0	0	0	0	0	0
KRT19	53649	69051	57108	49284	44419	52314
COL7A1	14634	18131	16145	14015	13807	15351
COL17A1	34392	41604	36327	38107	36263	41411
DGKA	1923	1914	1725	1539	1461	1578
AP1G2	1993	2373	2113	1868	1809	1893
CCL27	3	3	6	5	3	3
KRT1	2	0	0	0	0	0
CALML5	1	0	4	0	0	0
COL4A6	8419	9696	8486	13390	12752	14213
PRDX2	2232	2512	2144	2830	2717	2906
TFAP2C	0	0	0	0	0	0
CA2	147	182	180	146	154	168
BBOX1	0	0	0	0	0	0
CKMT1B	1565	1685	1611	1036	961	1075
CTNNBIP1	1347	1410	1397	1155	1066	1313
NAP1L2	1	5	7	0	3	3
DST	3262	3725	5256	6326	6112	8367
PERP	15484	15959	14968	15572	13850	15391
PLPPR4	0	0	0	2	5	3
FZD10	0	0	0	0	0	0
ANXA8	5008	6141	6512	4891	4858	6308
AKR1B10	1413	1499	1359	1207	1031	1238
QPCT	0	0	0	0	4	4
GRHL2	2219	2462	2232	1774	1797	1957
STAP2	618	850	709	517	482	538
EVPL	1404	2377	1822	1024	817	880
VSNL1	2	9	6	6	3	8
MATN2	111	85	88	49	50	57
CTNND1	8184	15654	15541	7331	8772	14744
HLF	15	15	9	48	24	24
GPR87	1198	1297	1226	1404	1277	1312
ADCY2	0	0	0	0	0	0
PKP1	5199	6257	5046	4498	4414	4875
PRSS8	1777	2113	1839	1297	1232	1332
KRT5	44890	53957	43305	43418	47138	50946
CD207	0	0	0	0	0	0
RAPGEFL1	1857	2230	2030	744	846	983
LTB4R	292	192	253	318	413	446
KLRF1	0	0	0	2	0	0
CHP2	6	8	10	0	1	2
KRT16	65	72	61	47	49	43
SCGB2A2	0	0	0	0	0	0
NTRK2	3	5	0	31	33	39
SOX15	585	816	705	676	672	791
DNASE1L3	0	0	1	0	2	4
KRT15	905	1045	815	904	976	904
ZBED2	397	465	390	1239	1180	1232
MAL	0	0	0	0	0	0
TPD52L1	1369	1660	1408	1101	1085	1210
PTCH1	248	309	297	340	339	331
CST6	0	2	0	2	1	8
FCER1A	0	0	0	0	0	0
PYCARD	206	282	273	194	172	163
BMP7	0	0	2	2	3	0
SPINK5	366	372	432	411	376	490
DIO2	37	29	28	39	47	18
PER2	728	962	856	817	756	884
TM4SF1	2037	2047	1970	1224	1063	1111
BTG1	1471	1394	1383	1288	1264	1351
SPINT2	13048	16739	14011	9198	8911	9299
CPA3	0	0	0	0	0	0
CFH	1937	1988	2328	3023	2783	3314
ITPR3	7808	9465	7982	8365	7896	8813
KIT	8	11	7	39	28	51
TXNIP	2763	2717	2415	3852	3439	3693
CLIC3	36	35	23	11	11	10
S100A8	4	16	8	24	15	33
SERPINB4	106	101	130	58	64	94
LGALS7	0	0	0	0	0	1
SOWAHC	566	603	633	788	717	795
ECHDC2	98	108	115	99	113	107
LTF	0	0	0	0	0	0
CDH3	9568	11685	10263	8755	8026	9481
ESRP2	1360	1493	1292	1100	1016	1031
LY6D	816	863	788	24	24	39
GJB3	2058	2561	2327	2285	2284	2505
CTSG	0	0	0	0	2	3
SCEL	759	803	1007	949	936	1155
TP53AIP1	2	2	2	4	2	1
CSTA	1305	1441	1434	1099	1157	1467
LAMA3	8932	9738	8911	12137	11550	12857
LAMC2	23015	25718	22277	27895	25761	28106
C1orf116	2315	2762	2413	2268	2159	2540
HPSE	254	273	239	307	349	400
CTNNB1	6684	7016	6468	7161	7145	7438
EGFR	14385	14979	14495	11782	10800	12615
ERBB2	1899	2482	2030	1463	1332	1532
BRMS1	958	1197	1033	875	1137	1228
HIF1A	7591	7711	9593	12345	11571	16378
BIRC5	1012	1134	1112	943	823	1045
ITGB1	14728	15369	17755	24869	19580	22615
CD82	1708	2466	1585	1528	1763	1444
KRAS	1438	1485	1510	1598	1385	1701
MET	10855	11002	11102	9881	9091	10433
MMP2	0	3	1	1	1	3
MMP9	23	14	20	112	118	156
NME1	1962	2403	2022	1959	1910	2136
PEBP1	4061	4789	4110	4458	4286	4702
TMEM140	71	78	67	60	40	73
PTEN	182	209	213	168	193	229
PTGS2	1074	1033	1135	1204	989	1291
S100A4	124	114	117	85	84	117
CXCL12	0	0	0	0	0	0
SPP1	33	67	45	29	43	51
BRAF	1004	992	1078	948	868	974
STAT3	2685	3091	2839	3055	3055	3523
TGFB1	2058	2583	2236	2268	2280	2516
TP53	0	0	0	0	0	0
TWIST1	0	0	0	0	0	0
VEGFA	0	0	0	0	0	0
VEGFC	63	60	62	66	76	85
EZR	12528	14845	13250	13679	13356	14735
CXCR4	0	0	0	0	0	1
CD44	8917	8533	8617	9521	8104	9995
CDH1	11283	12341	11249	10034	9292	10117
AFDN	1838	2171	2167	2610	2351	2572
PTPRM	188	205	233	761	602	724
RAC1	7318	7743	7918	5494	5924	6566
CTNNA1	8260	9225	8550	10338	9439	11103
ITGAV	3649	3673	4403	4900	4255	5373
CLDN1	4799	4791	4596	3987	3718	4296
TLN1	8525	9755	8132	9032	8388	9402
RAP1A	1311	1386	1334	1462	1188	1674
RAP1B	1195	1548	1672	1761	1941	2131
RAPGEF1	2186	2603	2360	2311	2248	2293
PDGFB	127	173	146	278	287	283
NECTIN1	20136	24118	20606	19563	19079	22213
F11R	5889	6193	4630	5413	5188	6966
PIP5K1C	860	1066	877	998	985	1047
VAV2	2720	3305	2909	2583	2395	2772
PVR	1121	1272	853	1202	982	1257
CDH1	11283	12341	11249	10034	9292	10117
PTK2	2913	2631	2754	2319	2082	2409
CTNNB1	6684	7016	6468	7161	7145	7438
PDGFRB	0	0	0	1	1	0
ITGB3	14	17	11	100	89	113
FARP2	993	1152	1019	989	873	932
NECTIN2	4206	5031	3988	2857	2815	3219
NECTIN3	391	378	450	399	420	485
PIK3R1	183	255	288	217	267	392
SRC	4496	5400	4688	5132	5138	5535
CDC42	8718	8561	8549	8316	7814	9526
PIK3CA	421	426	629	474	517	544
CRK	156	127	127	198	191	190
